algorithm,N,M,adjust_sample_adaptive,compute_cost_matrix,get_accum_cost_and_steps,retrieve_path,adjust_sample
DTW1,300,300,1.1920928955078125e-06,0.0008664131164550781,0.0017833709716796875,2.1219253540039062e-05,4.76837158203125e-07
DTW1,300,300,1.1920928955078125e-06,0.0008645057678222656,0.0016164779663085938,2.1457672119140625e-05,7.152557373046875e-07
DTW1,300,300,1.1920928955078125e-06,0.0009241104125976562,0.0016334056854248047,2.0742416381835938e-05,4.76837158203125e-07
DTW1,300,300,1.1920928955078125e-06,0.0008652210235595703,0.0017762184143066406,2.2172927856445312e-05,4.76837158203125e-07
DTW1,300,300,1.430511474609375e-06,0.0008633136749267578,0.0016918182373046875,2.2411346435546875e-05,4.76837158203125e-07
DTW1,300,600,1.430511474609375e-06,0.0018799304962158203,0.003804922103881836,1.7642974853515625e-05,4.76837158203125e-07
DTW1,300,600,9.5367431640625e-07,0.0016660690307617188,0.003248453140258789,1.52587890625e-05,4.76837158203125e-07
DTW1,300,600,9.5367431640625e-07,0.001947641372680664,0.0032918453216552734,1.6689300537109375e-05,4.76837158203125e-07
DTW1,300,600,1.1920928955078125e-06,0.0017514228820800781,0.0033540725708007812,1.5974044799804688e-05,4.76837158203125e-07
DTW1,300,600,1.1920928955078125e-06,0.001878499984741211,0.00347137451171875,1.7881393432617188e-05,4.76837158203125e-07
DTW1,300,600,1.430511474609375e-06,0.0018401145935058594,0.003217458724975586,1.6450881958007812e-05,4.76837158203125e-07
DTW1,300,600,9.5367431640625e-07,0.0017528533935546875,0.0031995773315429688,1.621246337890625e-05,7.152557373046875e-07
DTW1,300,600,1.1920928955078125e-06,0.0018889904022216797,0.003228425979614258,1.52587890625e-05,4.76837158203125e-07
DTW1,300,600,9.5367431640625e-07,0.0017504692077636719,0.003198385238647461,1.621246337890625e-05,4.76837158203125e-07
DTW1,300,600,1.430511474609375e-06,0.0018894672393798828,0.0034415721893310547,1.6689300537109375e-05,4.76837158203125e-07
DTW1,300,1200,1.1920928955078125e-06,0.0037140846252441406,0.007292270660400391,2.0265579223632812e-05,4.76837158203125e-07
DTW1,300,1200,1.1920928955078125e-06,0.003268003463745117,0.006613016128540039,1.7881393432617188e-05,9.5367431640625e-07
DTW1,300,1200,1.430511474609375e-06,0.003626108169555664,0.0068514347076416016,1.9073486328125e-05,4.76837158203125e-07
DTW1,300,1200,1.6689300537109375e-06,0.0038645267486572266,0.006866455078125,1.9073486328125e-05,7.152557373046875e-07
DTW1,300,1200,1.1920928955078125e-06,0.0036230087280273438,0.007010698318481445,2.0742416381835938e-05,7.152557373046875e-07
DTW1,300,1200,1.1920928955078125e-06,0.003618478775024414,0.007023334503173828,2.0265579223632812e-05,4.76837158203125e-07
DTW1,300,1200,1.1920928955078125e-06,0.003610849380493164,0.006759166717529297,1.9788742065429688e-05,7.152557373046875e-07
DTW1,300,1200,1.9073486328125e-06,0.0036025047302246094,0.006749391555786133,1.8835067749023438e-05,4.76837158203125e-07
DTW1,300,1200,1.1920928955078125e-06,0.0035927295684814453,0.006751298904418945,2.0265579223632812e-05,4.76837158203125e-07
DTW1,300,1200,1.6689300537109375e-06,0.003598928451538086,0.0068476200103759766,1.8835067749023438e-05,7.152557373046875e-07
DTW1,1000,1000,1.430511474609375e-06,0.010367870330810547,0.020398378372192383,0.00011539459228515625,9.5367431640625e-07
DTW1,1000,1000,1.6689300537109375e-06,0.009355783462524414,0.019422054290771484,0.000118255615234375,9.5367431640625e-07
DTW1,1000,1000,2.1457672119140625e-06,0.010502338409423828,0.019876718521118164,0.00012111663818359375,1.1920928955078125e-06
DTW1,1000,1000,1.6689300537109375e-06,0.010402202606201172,0.019793272018432617,0.00011324882507324219,9.5367431640625e-07
DTW1,1000,1000,2.1457672119140625e-06,0.010535955429077148,0.01999497413635254,0.00012111663818359375,7.152557373046875e-07
DTW1,1000,1000,2.1457672119140625e-06,0.01045989990234375,0.019928455352783203,0.00011706352233886719,9.5367431640625e-07
DTW1,1000,1000,2.384185791015625e-06,0.010397672653198242,0.019823551177978516,0.00010395050048828125,9.5367431640625e-07
DTW1,1000,1000,2.86102294921875e-06,0.010555744171142578,0.01982712745666504,0.0001125335693359375,9.5367431640625e-07
DTW1,1000,1000,1.9073486328125e-06,0.010452508926391602,0.02008843421936035,0.0001087188720703125,7.152557373046875e-07
DTW1,1000,1000,1.239776611328125e-05,0.01062774658203125,0.019860267639160156,0.00011515617370605469,9.5367431640625e-07
