,time_warp,steps,align_type,0,1,2,3,4,5,6
48,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,0.16312449145646868,0.41843775427176566,0.41843775427176566,0.0,0.0,0.0,0.0
49,2.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,0.09361374348972136,0.035454076476782066,0.08175567286423993,0.09823542298260864,0.690941084186648,0.0,0.0
50,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,0.16280129550965936,0.4185993522451703,0.4185993522451703,0.0,0.0,0.0,0.0
51,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1,0.00014659859392826866,1.9121555729774175e-05,0.999834279850342,0.0,0.0,0.0,0.0
52,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,0.2017537480318969,0.7485191501430852,0.04972710182501791,0.0,0.0,0.0,0.0
53,4.0,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,0.2000244154414913,0.7999755845585087,0.0,0.0,0.0,0.0,0.0
54,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,0.14727856242610085,0.4263607187869496,0.4263607187869496,0.0,0.0,0.0,0.0
55,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,0.10885078680571393,0.44557460659714304,0.44557460659714304,0.0,0.0,0.0,0.0
56,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW4,0.03089076654129364,0.6946901873532164,0.27441904610548995,0.0,0.0,0.0,0.0
57,3.175,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,0.23956783569720094,0.760432164302799,0.0,0.0,0.0,0.0,0.0
58,1.26,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,0.4424886130033456,0.5575113869966545,0.0,0.0,0.0,0.0,0.0
59,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1,0.14724053922364788,0.4263699853824915,0.42638947539386063,0.0,0.0,0.0,0.0
60,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,0.24389790574485182,0.5235145876268935,0.23258750662825467,0.0,0.0,0.0,0.0
61,2.521,"[[0, 1], [1, 0]]",DTW5,0.2840584710294039,0.715941528970596,0.0,0.0,0.0,0.0,0.0
62,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW3,0.4661448645283964,0.46615215905968627,0.06770297641191732,0.0,0.0,0.0,0.0
63,1.0,"[[0, 1], [1, 0]]",DTW5,0.4999965840072328,0.5000034159927672,0.0,0.0,0.0,0.0,0.0
64,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,0.14723958265660123,0.4263802086716994,0.4263802086716994,0.0,0.0,0.0,0.0
65,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,0.043280346033579206,0.6985934214397002,0.2581262325267206,0.0,0.0,0.0,0.0
66,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW3,0.16380254409504455,0.790918734846941,0.045278721058014434,0.0,0.0,0.0,0.0
67,3.175,"[[0, 1], [1, 0]]",DTW5,0.23956783569720094,0.760432164302799,0.0,0.0,0.0,0.0,0.0
68,4.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,0.0,0.0,3.643650938240116e-05,0.0,0.0005374385133904172,0.0,0.9994261249772272
69,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,0.0756239620125845,0.41747060219142745,0.506905435795988,0.0,0.0,0.0,0.0
70,1.26,"[[0, 1], [1, 0]]",DTW5,0.4424886130033456,0.5575113869966545,0.0,0.0,0.0,0.0,0.0
71,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,0.1627551186484815,0.41862244067575927,0.41862244067575927,0.0,0.0,0.0,0.0
72,1.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,0.15298695953151603,0.07285449681004322,0.07312578345712735,0.0701603397631387,0.07116129394375947,0.28022975172594433,0.2794813747684709
73,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1,0.08502798929554886,0.12685033160527984,0.7881216790991713,0.0,0.0,0.0,0.0
74,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW4,0.06841108109335878,0.5341654574945954,0.39742346141204576,0.0,0.0,0.0,0.0
75,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,0.34647659727275304,0.5881583050623223,0.06536509766492474,0.0,0.0,0.0,0.0
76,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,0.4078395023408049,0.5300108959278342,0.06214960173136079,0.0,0.0,0.0,0.0
77,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW2,0.5819452431310247,0.06996169553309486,0.34809306133588047,0.0,0.0,0.0,0.0
