,file,time_warp,steps,align_type,0,1,2,3,4,5,6
111,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1016,2567,2567,,,,
112,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,965,2584,2584,,,,
113,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,992,2575,2575,,,,
114,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,916,2600,2600,,,,
115,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,958,2586,2586,,,,
116,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1009,2569,2569,,,,
117,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1090,2542,2542,,,,
118,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1087,2543,2543,,,,
119,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1046,2557,2557,,,,
120,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
121,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
122,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
123,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
124,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
125,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
126,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
127,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
128,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
129,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
130,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
131,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
132,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
133,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
134,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
135,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
136,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
137,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
138,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
139,experiments_test_steps/train_toy.x1588.x0630.DTW_selectiveTransitions2,2.521,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
140,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,769,17232,4720,,,,
141,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,809,17269,4680,,,,
142,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,803,17266,4686,,,,
143,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,760,17224,4729,,,,
144,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,733,17197,4756,,,,
145,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,705,17172,4784,,,,
146,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,762,17226,4727,,,,
147,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,827,17290,4662,,,,
148,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,763,17227,4726,,,,
149,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,748,17210,4741,,,,
150,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,796,17259,4693,,,,
151,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,760,17223,4729,,,,
152,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,801,17265,4688,,,,
153,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,786,17250,4703,,,,
154,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions5,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions5,744,17208,4745,,,,
